Gene Names,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),Protein families
SOX15,brain development ; cell differentiation ; chromatin organization ; male gonad development ; myoblast development ; negative regulation of striated muscle tissue development ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of G0 to G1 transition ; positive regulation of myoblast proliferation ; positive regulation of satellite cell activation involved in skeletal muscle regeneration ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; skeletal muscle tissue regeneration ; trophoblast giant cell differentiation ,chromatin ; cytoplasm ; nucleus ; transcription regulator complex ,"chromatin binding ; DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",
SOX12,brain development ; cell differentiation ; chromatin organization ; male gonad development ; myoblast development ; negative regulation of striated muscle tissue development ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of G0 to G1 transition ; positive regulation of myoblast proliferation ; positive regulation of satellite cell activation involved in skeletal muscle regeneration ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; skeletal muscle tissue regeneration ; trophoblast giant cell differentiation ,chromatin ; cytoplasm ; nucleus ; transcription regulator complex ,"chromatin binding ; DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",
SOX20,brain development ; cell differentiation ; chromatin organization ; male gonad development ; myoblast development ; negative regulation of striated muscle tissue development ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of G0 to G1 transition ; positive regulation of myoblast proliferation ; positive regulation of satellite cell activation involved in skeletal muscle regeneration ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; skeletal muscle tissue regeneration ; trophoblast giant cell differentiation ,chromatin ; cytoplasm ; nucleus ; transcription regulator complex ,"chromatin binding ; DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",
SOX26,brain development ; cell differentiation ; chromatin organization ; male gonad development ; myoblast development ; negative regulation of striated muscle tissue development ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of G0 to G1 transition ; positive regulation of myoblast proliferation ; positive regulation of satellite cell activation involved in skeletal muscle regeneration ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; skeletal muscle tissue regeneration ; trophoblast giant cell differentiation ,chromatin ; cytoplasm ; nucleus ; transcription regulator complex ,"chromatin binding ; DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",
SOX27,brain development ; cell differentiation ; chromatin organization ; male gonad development ; myoblast development ; negative regulation of striated muscle tissue development ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of G0 to G1 transition ; positive regulation of myoblast proliferation ; positive regulation of satellite cell activation involved in skeletal muscle regeneration ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; skeletal muscle tissue regeneration ; trophoblast giant cell differentiation ,chromatin ; cytoplasm ; nucleus ; transcription regulator complex ,"chromatin binding ; DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",
SOX17,angiogenesis ; cardiac cell fate determination ; cardiogenic plate morphogenesis ; cell migration involved in gastrulation ; cellular response to leukemia inhibitory factor ; common bile duct development ; embryonic foregut morphogenesis ; embryonic heart tube development ; embryonic heart tube morphogenesis ; endocardial cell differentiation ; endocardium formation ; endoderm formation ; endodermal cell fate determination ; endodermal cell fate specification ; endodermal digestive tract morphogenesis ; gallbladder development ; gene expression ; heart development ; heart formation ; heart looping ; inner cell mass cellular morphogenesis ; metanephros development ; negative regulation of canonical Wnt signaling pathway ; negative regulation of cell growth ; outflow tract morphogenesis ; positive regulation of DNA-templated transcription ; positive regulation of endodermal cell differentiation ; positive regulation of gene expression ; positive regulation of protein catabolic process ; positive regulation of stem cell differentiation ; positive regulation of transcription by RNA polymerase II ; protein destabilization ; protein stabilization ; regulation of cardiac cell fate specification ; regulation of DNA-templated transcription ; regulation of embryonic development ; regulation of stem cell division ; regulation of stem cell proliferation ; regulation of transcription by RNA polymerase II ; response to alkaloid ; rostrocaudal neural tube patterning ; signal transduction involved in regulation of gene expression ; spermatogenesis ; stem cell fate specification ; ureter development ; vasculogenesis ; Wnt signaling pathway ,chromatin ; nucleoplasm ; nucleus ; transcription regulator complex ,"beta-catenin binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; RNA polymerase II-specific DNA-binding transcription factor binding ; transcription cis-regulatory region binding ",
SOX18,angiogenesis ; blood vessel endothelial cell migration ; cell maturation ; embryonic heart tube development ; endocardial cell differentiation ; endocardium formation ; establishment of endothelial barrier ; hair cycle process ; hair follicle development ; heart looping ; in utero embryonic development ; lymphangiogenesis ; lymphatic endothelial cell differentiation ; negative regulation of DNA-templated transcription ; negative regulation of transcription by RNA polymerase II ; outflow tract morphogenesis ; positive regulation of DNA-templated transcription ; positive regulation of transcription by RNA polymerase II ; regulation of stem cell proliferation ; stem cell fate specification ; vasculature development ; vasculogenesis ,chromatin ; nucleus ; transcription regulator complex ,"DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ; sequence-specific double-stranded DNA binding ; transcription cis-regulatory region binding ",
SOX1,brain development ; cellular response to leukemia inhibitory factor ; chromatin organization ; forebrain neuron development ; interneuron migration ; lens morphogenesis in camera-type eye ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of oligodendrocyte differentiation ; ventral spinal cord interneuron specification ,chromatin ; nucleus ,"DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",
SOX21,brain development ; hair follicle development ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; stem cell differentiation ,chromatin ; nucleus ,"DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",
SOX25,brain development ; hair follicle development ; negative regulation of transcription by RNA polymerase II ; neuron differentiation ; positive regulation of transcription by RNA polymerase II ; regulation of DNA-templated transcription ; regulation of transcription by RNA polymerase II ; stem cell differentiation ,chromatin ; nucleus ,"DNA binding ; DNA-binding transcription activator activity, RNA polymerase II-specific ; DNA-binding transcription factor activity ; DNA-binding transcription factor activity, RNA polymerase II-specific ; RNA polymerase II cis-regulatory region sequence-specific DNA binding ",
